"구분별(1)",구분별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"구분별(1)",구분별(2),TV 홈쇼핑,TV 홈쇼핑,TV 홈쇼핑,국내 온라인 쇼핑몰,국내 온라인 쇼핑몰,국내 온라인 쇼핑몰,해외직구,해외직구,해외직구,개인 간 거래,개인 간 거래,개인 간 거래
"구분별(1)",구분별(2),사례수 (명),있음 (%),없음 (%),사례수 (명),있음 (%),없음 (%),사례수 (명),있음 (%),없음 (%),사례수 (명),있음 (%),없음 (%)
"종사상지위",임금근로자,4121.2,41.7,58.3,4121.2,91.1,8.9,4121.2,18.3,81.7,4121.2,18.1,81.9
"종사상지위",고용주,114.5,44.9,55.1,114.5,86.7,13.3,114.5,11.0,89.0,114.5,18.9,81.1
"종사상지위",단독자영업자,537.2,59.3,40.7,537.2,70.6,29.4,537.2,7.4,92.6,537.2,14.5,85.5
"종사상지위",무급가족종사자,76.8,82.0,18.0,76.8,52.5,47.5,76.8,1.4,98.6,76.8,6.8,93.2
"종사상지위",무직,2048.1,46.5,53.5,2048.1,81.3,18.7,2048.1,12.8,87.2,2048.1,17.7,82.3
"상세직업",관리자,202.9,34.5,65.5,202.9,95.9,4.1,202.9,13.3,86.7,202.9,18.2,81.8
"상세직업",전문가및관련종사자,811.6,40.6,59.4,811.6,97.1,2.9,811.6,26.3,73.7,811.6,22.5,77.5
"상세직업",사무종사자,1406.2,38.5,61.5,1406.2,94.3,5.7,1406.2,24.6,75.4,1406.2,17.9,82.1
"상세직업",서비스종사자,593.6,55.9,44.1,593.6,76.9,23.1,593.6,10.1,89.9,593.6,18.5,81.5
"상세직업",판매종사자,819.5,49.0,51.0,819.5,85.1,14.9,819.5,10.1,89.9,819.5,17.9,82.1
"상세직업",농림어업종사자,93.0,66.5,33.5,93.0,54.7,45.3,93.0,5.6,94.4,93.0,9.2,90.8
"상세직업",기능원및관련기능종사자,251.1,33.9,66.1,251.1,87.5,12.5,251.1,7.9,92.1,251.1,11.3,88.7
"상세직업",장치기계조작및조립종사자,361.3,38.2,61.8,361.3,89.4,10.6,361.3,9.2,90.8,361.3,15.6,84.4
"상세직업",단순노무종사자,299.9,64.0,36.0,299.9,69.2,30.8,299.9,6.9,93.1,299.9,9.4,90.6
"상세직업",직업군인,10.8,0.0,100.0,10.8,100.0,0.0,10.8,0.0,100.0,10.8,4.1,95.9
"상세직업",학생,701.3,9.3,90.7,701.3,96.7,3.3,701.3,18.1,81.9,701.3,23.2,76.8
